factor,period,ic_mean,ic_std,ic_ir,t_stat,ic_positive_ratio,ic_gt5_ratio,n_dates
trend_score,3,-0.02459,0.11751,-0.2093,-1.8001,0.405,0.716,74
momentum_score,3,-0.0224,0.11526,-0.1943,-1.6717,0.459,0.676,74
volume_score,3,-0.02867,0.10365,-0.2766,-2.3796,0.419,0.703,74
fundamental_score,3,0.01852,0.13929,0.1329,0.7281,0.533,0.733,30
pullback_score,3,-0.00014,0.07693,-0.0018,-0.0151,0.514,0.608,74
trend_score,5,-0.02548,0.11765,-0.2166,-1.8379,0.458,0.722,72
momentum_score,5,-0.02093,0.11295,-0.1853,-1.5722,0.444,0.75,72
volume_score,5,-0.02809,0.09297,-0.3021,-2.5637,0.403,0.597,72
fundamental_score,5,0.01061,0.13968,0.076,0.4092,0.586,0.759,29
pullback_score,5,0.00265,0.07896,0.0335,0.2847,0.514,0.569,72
trend_score,10,-0.02331,0.10001,-0.2331,-1.9079,0.433,0.567,67
momentum_score,10,-0.00991,0.10365,-0.0956,-0.7825,0.403,0.657,67
volume_score,10,-0.0278,0.08311,-0.3345,-2.7382,0.373,0.597,67
fundamental_score,10,-0.02201,0.16053,-0.1371,-0.6717,0.542,0.792,24
pullback_score,10,0.01535,0.08789,0.1746,1.4293,0.597,0.657,67
trend_score,20,0.01641,0.10411,0.1577,1.1904,0.561,0.544,57
momentum_score,20,0.01929,0.09264,0.2082,1.5716,0.667,0.544,57
volume_score,20,-0.00768,0.08127,-0.0945,-0.7132,0.474,0.509,57
fundamental_score,20,-0.07536,0.1064,-0.7082,-2.65,0.286,0.643,14
pullback_score,20,0.01927,0.08742,0.2204,1.6639,0.667,0.667,57
