hold_days,drawdown_min,drawdown_max,vol_shrink_ratio,days_min,days_max,picks_per_day,in_trades,in_win_rate,in_day_win_rate,oos_trades,oos_win_rate,oos_day_win_rate,oos_avg_return,oos_profit_factor,oos_max_drawdown
3,0.03,0.06,0.7,2,4,2,32,0.625,0.75,6,0.6666666666666666,0.75,0.056181143332745875,4.762643582683256,0.0
2,0.02,0.08,0.6,2,5,1,26,0.46153846153846156,0.46153846153846156,6,0.6666666666666666,0.6666666666666666,0.01642960441173229,1.6369983155509398,-0.15288285551447245
3,0.03,0.08,0.7,2,4,1,21,0.5714285714285714,0.5714285714285714,5,0.6,0.6,0.047050538469598294,6.526045592184995,-0.012235377946017256
2,0.02,0.06,0.6,2,5,1,24,0.4583333333333333,0.4583333333333333,5,0.6,0.6,0.0036959610904412467,1.0845562231776766,-0.15288285551447256
3,0.03,0.08,0.7,2,4,2,37,0.5675675675675675,0.5714285714285714,7,0.5714285714285714,0.6,0.0289942754255386,2.993259152293128,-0.012235377946017256
2,0.02,0.06,0.6,2,5,2,40,0.425,0.4583333333333333,7,0.5714285714285714,0.6,0.01173222041045394,1.3652012141613912,-0.15288285551447256
2,0.02,0.08,0.6,2,5,2,43,0.46511627906976744,0.5,9,0.5555555555555556,0.6666666666666666,0.015809455944452353,1.7860246529511667,-0.15288285551447256
3,0.02,0.06,0.7,2,4,2,37,0.5945945945945946,0.6956521739130435,8,0.5,0.6,0.011273923266654308,1.2680412380551092,-0.17945670089309174
2,0.03,0.08,0.6,2,5,2,36,0.5833333333333334,0.6086956521739131,8,0.5,0.5,0.014449082025888035,1.6385677435224077,-0.15288285551447256
3,0.03,0.08,0.6,2,5,1,23,0.4782608695652174,0.4782608695652174,6,0.5,0.5,0.011732810617529817,1.4398569603860147,-0.1299428295579318
3,0.02,0.08,0.6,2,5,1,26,0.34615384615384615,0.34615384615384615,6,0.5,0.5,0.01163973544615672,1.4348502803286376,-0.12994282955793168
3,0.03,0.08,0.6,2,5,2,36,0.5,0.6086956521739131,8,0.5,0.5,0.01159985311633106,1.5518920926498834,-0.12994282955793168
2,0.03,0.08,0.6,2,5,1,23,0.6086956521739131,0.6086956521739131,6,0.5,0.5,0.010926361256591235,1.4069904290746587,-0.15288285551447245
3,0.02,0.08,0.7,2,4,1,24,0.5833333333333334,0.5833333333333334,6,0.5,0.5,0.009299331909149952,1.2513012401843557,-0.17945670089309174
2,0.03,0.06,0.6,2,5,2,32,0.53125,0.5714285714285714,6,0.5,0.4,0.00923884926336846,1.2465035006450986,-0.15288285551447256
3,0.02,0.08,0.6,2,5,2,43,0.4186046511627907,0.5384615384615384,9,0.4444444444444444,0.5,0.007228311067258283,1.3320974233774807,-0.12994282955793157
3,0.02,0.08,0.7,2,4,2,40,0.6,0.5833333333333334,9,0.4444444444444444,0.5,-0.0048817273204967366,0.8740086054174138,-0.17945670089309174
2,0.03,0.06,0.6,2,5,1,21,0.6190476190476191,0.6190476190476191,5,0.4,0.4,-0.0029079306957280225,0.9353441217175869,-0.15288285551447256
3,0.02,0.06,0.7,2,4,1,23,0.6086956521739131,0.6086956521739131,5,0.4,0.4,-0.011642360774893395,0.7836350140021655,-0.17945670089309174
3,0.03,0.08,0.7,2,5,2,70,0.5,0.5128205128205128,15,0.4,0.36363636363636365,-0.002479966715506783,0.9270631046895891,-0.229463499041469
2,0.02,0.08,0.7,2,5,1,40,0.4,0.4,11,0.36363636363636365,0.36363636363636365,-0.013573870476442108,0.6291693416010978,-0.2406156057521156
3,0.03,0.06,0.7,2,5,2,63,0.49206349206349204,0.5405405405405406,11,0.36363636363636365,0.3333333333333333,0.00589598530216518,1.1792495006869332,-0.17000524418135587
2,0.03,0.06,0.7,2,4,2,32,0.59375,0.65,6,0.3333333333333333,0.5,0.039961797410515,4.343377683873711,-0.0064256044636124
3,0.02,0.08,0.7,2,5,2,75,0.5333333333333333,0.575,18,0.3333333333333333,0.36363636363636365,-0.017324388884509254,0.6025820471680177,-0.24907014040291142
3,0.03,0.06,0.6,2,5,2,32,0.46875,0.5714285714285714,6,0.3333333333333333,0.2,-0.013111116974508551,0.6821460509378416,-0.12994282955793157
2,0.02,0.06,0.7,2,5,1,40,0.475,0.475,10,0.3,0.3,-0.012042862719343364,0.6630980126387546,-0.22862479200856145
2,0.02,0.06,0.7,2,5,2,71,0.49295774647887325,0.525,14,0.2857142857142857,0.4,-0.002181939512747306,0.9319942447147737,-0.22862479200856145
3,0.02,0.06,0.7,2,5,2,71,0.5211267605633803,0.575,14,0.2857142857142857,0.3,-0.014984547204624837,0.670388990425064,-0.3191488446473789
3,0.02,0.06,0.6,2,5,2,40,0.4,0.5,7,0.2857142857142857,0.2,-0.015201532453196467,0.6133854574502392,-0.12994282955793168
2,0.02,0.08,0.7,2,5,2,75,0.4666666666666667,0.525,18,0.2777777777777778,0.36363636363636365,-0.007362496549723206,0.777130377937215,-0.23462019888033847
2,0.03,0.06,0.7,2,5,2,63,0.5079365079365079,0.4864864864864865,11,0.2727272727272727,0.3333333333333333,0.007869391501082694,1.2834591763835308,-0.15288285551447256
2,0.03,0.08,0.7,2,5,1,39,0.46153846153846156,0.46153846153846156,11,0.2727272727272727,0.2727272727272727,-0.016575639470155414,0.5541683234051734,-0.2406156057521156
3,0.03,0.08,0.7,2,5,1,39,0.5128205128205128,0.5128205128205128,11,0.2727272727272727,0.2727272727272727,-0.020029980952536063,0.5112162958918786,-0.2552007501144219
3,0.02,0.08,0.7,2,5,1,40,0.525,0.525,11,0.2727272727272727,0.2727272727272727,-0.020080749227830482,0.5105837448491234,-0.25562830741203224
2,0.03,0.08,0.7,2,5,2,70,0.4714285714285714,0.48717948717948717,15,0.26666666666666666,0.2727272727272727,-0.0010276318803097207,0.9658084388644048,-0.2406156057521156
2,0.02,0.06,0.7,2,4,2,37,0.5405405405405406,0.6521739130434783,8,0.25,0.4,0.01199598468496891,1.4452892957942145,-0.08941140784028001
2,0.03,0.06,0.7,2,5,1,37,0.5675675675675675,0.5675675675675675,9,0.2222222222222222,0.2222222222222222,-0.007115186476000002,0.7666085291228941,-0.15288285551447256
3,0.03,0.06,0.7,2,5,1,37,0.5135135135135135,0.5135135135135135,9,0.2222222222222222,0.2222222222222222,-0.016776236072670387,0.5827023726104267,-0.1790250317597174
2,0.03,0.08,0.7,2,4,1,21,0.47619047619047616,0.47619047619047616,5,0.2,0.2,0.010343085081165599,1.6616344650132242,-0.04796096041393738
2,0.02,0.06,0.7,2,4,1,23,0.5652173913043478,0.5652173913043478,5,0.2,0.2,-4.8121634619927026e-05,0.9981508629987045,-0.08941140784028001
3,0.03,0.06,0.6,2,5,1,21,0.47619047619047616,0.47619047619047616,5,0.2,0.2,-0.021834089067040374,0.5588952332317836,-0.12994282955793168
3,0.02,0.06,0.6,2,5,1,24,0.3333333333333333,0.3333333333333333,5,0.2,0.2,-0.021945779272688093,0.5576369647486379,-0.12994282955793168
3,0.02,0.06,0.7,2,5,1,40,0.525,0.525,10,0.2,0.2,-0.03310012765753638,0.389109378396974,-0.3267412020633359
